year,state,month,number
2013,Pará,Janeiro,291.0
2019,Maranhão,Novembro,3.158
2023,Goias,Janeiro,12.0
2014,Rio Grande do Norte,Dezembro,45.0
2016,Mato Grosso,Fevereiro,763.0
2018,Rio de Janeiro,Dezembro,13.0
2021,Rio Grande do Sul,Agosto,600.0
2020,Pará,Fevereiro,64.0
2013,Bahia,Junho,228.0
2020,Piaui,Outubro,3.437
2016,Roraima,Setembro,18.0
2021,Espirito Santo,Agosto,92.0
2019,Amapa,Abril,0.0
2020,Bahia,Abril,98.0
2022,Rio Grande do Norte,Agosto,13.0
2016,Maranhão,Março,70.0
2022,Rio de Janeiro,Setembro,219.0
2014,Rio Grande do Norte,Maio,1.0
2015,Bahia,Fevereiro,124.0
2016,Rio Grande do Norte,Fevereiro,2.0
2021,Maranhão,Agosto,3.322
2022,Paraiba,Março,3.0
2021,Roraima,Maio,3.0
2020,Tocantins,Setembro,3.977
2022,Distrito Federal,Fevereiro,0.0
2020,Bahia,Fevereiro,153.0
2020,Paraná,Fevereiro,49.0
2021,Pernambuco,Outubro,367.0
2012,Tocantins,Abril,243.0
2017,Ceará,Outubro,793.0
2021,Goias,Fevereiro,89.0
2017,Tocantins,Setembro,6.625
2012,Amazonas,Agosto,3.616
2012,Amazonas,Outubro,1.484
2019,Mato Grosso,Outubro,1.774
2022,Pernambuco,Janeiro,47.0
2023,Rio Grande do Sul,Dezembro,31.0
2012,Mato Grosso,Janeiro,179.0
2021,Mato Grosso do Sul,Dezembro,202.0
2015,Amapa,Fevereiro,0.0
2017,Roraima,Fevereiro,124.0
2023,Minas Gerais,Março,186.0
2017,Rondonia,Julho,1.007
2015,Roraima,Janeiro,411.0
2022,São Paulo,Maio,139.0
2014,Santa Catarina,Outubro,123.0
2016,Distrito Federal,Setembro,51.0
2015,Rondonia,Setembro,5200.0
2021,Mato Grosso,Fevereiro,578.0
2021,Mato Grosso,Abril,631.0
2017,Amazonas,Setembro,3.185
2023,Roraima,Abril,212.0
2022,Bahia,Dezembro,124.0
2019,Sergipe,Outubro,1.0
2022,Rondonia,Dezembro,70.0
2023,Paraiba,Dezembro,169.0
2018,Amapa,Fevereiro,1.0
2020,Minas Gerais,Setembro,3.467
2021,Amapa,Janeiro,0.0
2018,Sergipe,Agosto,5.0
2018,Bahia,Setembro,1930.0
2013,Roraima,Fevereiro,71.0
2018,Maranhão,Julho,1.457
2020,Alagoas,Fevereiro,21.0
2013,Minas Gerais,Agosto,933.0
2017,Maranhão,Setembro,9.243
2013,São Paulo,Janeiro,51.0
2014,Minas Gerais,Dezembro,123.0
2023,Goias,Julho,366.0
2015,Sergipe,Fevereiro,33.0
2023,Goias,Novembro,181.0
2012,Bahia,Julho,909.0
2019,Rio Grande do Sul,Maio,26.0
2018,Sergipe,Janeiro,14.0
2015,Paraiba,Julho,2.0
2022,Maranhão,Dezembro,1.541
2012,Rio Grande do Sul,Abril,61.0
2021,Piaui,Março,32.0
2014,Espirito Santo,Março,15.0
2014,Pará,Maio,55.0
2016,Rio de Janeiro,Março,3.0
2017,Rio Grande do Sul,Novembro,139.0
2014,Roraima,Outubro,65.0
2021,Sergipe,Fevereiro,31.0
2013,Paraná,Abril,137.0
2022,Santa Catarina,Julho,230.0
2016,Tocantins,Agosto,3.213
2015,Acre,Abril,3.0
2022,Paraiba,Outubro,131.0
2023,Mato Grosso do Sul,Setembro,339.0
2015,Minas Gerais,Maio,109.0
2016,Amazonas,Novembro,497.0
2020,Bahia,Agosto,437.0
2021,Santa Catarina,Fevereiro,63.0
2016,Paraiba,Outubro,283.0
2020,Mato Grosso,Novembro,1.919
2015,Alagoas,Setembro,4.0
2012,Minas Gerais,Junho,245.0
2022,Goias,Fevereiro,96.0
2012,Pernambuco,Dezembro,123.0
2012,Paraiba,Setembro,58.0
2017,Sergipe,Fevereiro,12.0
2019,Pernambuco,Abril,11.0
2012,Distrito Federal,Dezembro,0.0
2017,Amapa,Junho,2.0
2012,Espirito Santo,Maio,25.0
2016,Goias,Fevereiro,69.0
2017,Rio Grande do Norte,Novembro,103.0
2016,Rio Grande do Norte,Agosto,23.0
2019,Maranhão,Maio,139.0
2013,Amazonas,Novembro,258.0
2017,Pará,Julho,3.696
2020,Roraima,Maio,11.0
2012,Sergipe,Março,87.0
2017,Mato Grosso do Sul,Setembro,2.084
2019,Sergipe,Julho,0.0
2021,Acre,Fevereiro,0.0
2020,Pará,Junho,491.0
2021,Rio Grande do Sul,Novembro,145.0
2017,Alagoas,Julho,0.0
2022,Pernambuco,Maio,13.0
2018,Mato Grosso,Novembro,363.0
2015,Santa Catarina,Julho,46.0
2017,Mato Grosso do Sul,Novembro,136.0
2013,Pernambuco,Agosto,14.0
2019,Maranhão,Abril,63.0
2017,Goias,Janeiro,46.0
2013,Sergipe,Fevereiro,47.0
2017,Rio de Janeiro,Junho,41.0
2022,Rio de Janeiro,Janeiro,16.0
2023,Alagoas,Maio,4.0
2012,Pará,Janeiro,534.0
2019,Paraná,Dezembro,81.0
2012,Minas Gerais,Agosto,919.0
2017,Pará,Maio,121.0
2015,Minas Gerais,Julho,272.0
2020,Rio de Janeiro,Outubro,52.0
2018,Paraná,Outubro,112.0
2016,Amapa,Fevereiro,1.0
2023,Rio Grande do Sul,Fevereiro,94.0
2020,Minas Gerais,Outubro,2.404
2014,Alagoas,Fevereiro,26.0
2019,Acre,Setembro,2.977
2019,Pará,Fevereiro,80.0
2021,Pernambuco,Março,47.0
2013,Alagoas,Março,36.0
2023,Rio de Janeiro,Maio,16.0
2013,Acre,Outubro,318.0
2012,Bahia,Junho,387.0
2017,Roraima,Outubro,150.0
2016,Bahia,Junho,388.0
2017,Pará,Janeiro,213.0
2023,Distrito Federal,Março,0.0
2019,Roraima,Outubro,53.0
2017,Espirito Santo,Dezembro,0.0
2018,Rio de Janeiro,Outubro,13.0
2014,Sergipe,Maio,1.0
2017,Mato Grosso,Maio,844.0
2020,Pará,Maio,88.0
2016,Tocantins,Abril,340.0
2019,Paraná,Setembro,731.0
2020,Pernambuco,Novembro,214.0
2015,Amapa,Janeiro,27.0
2017,Paraiba,Abril,1.0
2023,Paraiba,Abril,13.0
2012,Paraná,Janeiro,46.0
2021,Distrito Federal,Agosto,50.0
2022,Rondonia,Janeiro,80.0
2021,Piaui,Agosto,2350.0
2013,Rio de Janeiro,Outubro,37.0
2021,Tocantins,Setembro,1.785
2019,Ceará,Dezembro,769.0
2023,Pernambuco,Julho,35.0
2016,Acre,Março,0.0
2022,Goias,Maio,415.0
2017,Amazonas,Janeiro,62.0
2018,Ceará,Outubro,591.0
2014,Alagoas,Novembro,9.0
2016,Pará,Setembro,3.878
2021,Pará,Julho,1.372
2022,Distrito Federal,Maio,14.0
2013,Roraima,Setembro,39.0
2018,Mato Grosso,Fevereiro,266.0
2013,Rio Grande do Norte,Novembro,71.0
2021,Espirito Santo,Junho,26.0
2014,Santa Catarina,Fevereiro,25.0
2023,Espirito Santo,Março,22.0
2013,Pernambuco,Novembro,102.0
2020,Piaui,Fevereiro,38.0
2020,Maranhão,Abril,93.0
2014,Alagoas,Junho,2.0
2020,Paraiba,Outubro,248.0
2021,Rio Grande do Sul,Julho,504.0
2023,Rondonia,Novembro,996.0
2012,Roraima,Setembro,89.0
2017,Piaui,Janeiro,82.0
2019,Espirito Santo,Dezembro,13.0
2019,Santa Catarina,Janeiro,41.0
2020,Goias,Junho,314.0
2016,Amazonas,Maio,26.0
2019,Rio Grande do Norte,Março,2.0
2015,Amazonas,Setembro,5.004
2015,Pernambuco,Agosto,21.0
2016,Mato Grosso do Sul,Outubro,1070.0
2018,Ceará,Novembro,860.0
2013,Piaui,Novembro,590.0
2020,Bahia,Março,92.0
2012,Mato Grosso do Sul,Fevereiro,127.0
2022,São Paulo,Novembro,49.0
2013,Amapa,Abril,2.0
2016,Amapa,Setembro,150.0
2014,São Paulo,Março,58.0
2019,Piaui,Outubro,2.671
2023,Pernambuco,Fevereiro,36.0
2014,Goias,Julho,424.0
2021,Mato Grosso,Dezembro,245.0
2019,Piaui,Setembro,3.137
2014,Rondonia,Junho,99.0
2020,Espirito Santo,Agosto,25.0
2013,Minas Gerais,Setembro,1.618
2019,Santa Catarina,Dezembro,81.0
2015,Acre,Setembro,2.949
2018,Ceará,Junho,17.0
2019,São Paulo,Novembro,60.0
2017,Minas Gerais,Dezembro,61.0
2019,Roraima,Novembro,58.0
2016,Rio de Janeiro,Outubro,28.0
2023,Pernambuco,Janeiro,109.0
2017,Acre,Abril,1.0
2023,Pará,Março,94.0
2020,Acre,Maio,39.0
2021,Ceará,Fevereiro,64.0
2022,Maranhão,Fevereiro,92.0
2015,Mato Grosso do Sul,Julho,355.0
2019,Paraná,Janeiro,92.0
2015,Santa Catarina,Agosto,382.0
2016,Pará,Janeiro,1.479
2016,Espirito Santo,Janeiro,37.0
2022,Ceará,Dezembro,1.445
2021,Mato Grosso do Sul,Julho,916.0
2022,Amazonas,Novembro,961.0
2023,Rio de Janeiro,Agosto,95.0
2014,Distrito Federal,Fevereiro,1.0
2017,Acre,Fevereiro,4.0
2013,Alagoas,Outubro,23.0
2012,Ceará,Julho,50.0
2019,Amazonas,Dezembro,163.0
2022,Ceará,Agosto,140.0
2022,Santa Catarina,Dezembro,28.0
2021,Bahia,Novembro,135.0
2012,Mato Grosso do Sul,Setembro,2.166
2023,Rio Grande do Norte,Outubro,180.0
2012,Pernambuco,Abril,49.0
2023,Distrito Federal,Novembro,3.0
2020,Distrito Federal,Março,0.0
2016,Pará,Abril,51.0
2017,Bahia,Abril,91.0
2014,Espirito Santo,Fevereiro,16.0
2019,Goias,Agosto,698.0
2017,Sergipe,Janeiro,30.0
2015,Distrito Federal,Fevereiro,0.0
2019,Paraná,Agosto,1.144
2019,Rondonia,Janeiro,33.0
2019,Acre,Março,2.0
2016,Rondonia,Janeiro,85.0
2015,Santa Catarina,Janeiro,18.0
2016,Minas Gerais,Fevereiro,127.0
2016,Roraima,Abril,154.0
2018,Mato Grosso do Sul,Março,163.0
2012,Minas Gerais,Julho,701.0
2019,Roraima,Julho,4.0
2023,Piaui,Janeiro,96.0
2012,Distrito Federal,Julho,27.0
2019,Paraiba,Novembro,351.0
2018,Paraiba,Setembro,70.0
2014,Maranhão,Julho,2.027
2014,Rondonia,Julho,209.0
2023,Espirito Santo,Setembro,54.0
2021,Rio Grande do Sul,Setembro,183.0
2014,Rio de Janeiro,Julho,44.0
2016,Sergipe,Setembro,2.0
2022,Paraná,Maio,123.0
2015,Rio Grande do Sul,Fevereiro,34.0
2019,Rio Grande do Norte,Fevereiro,5.0
2016,Rio Grande do Sul,Março,33.0
2023,Santa Catarina,Novembro,61.0
2022,Rio de Janeiro,Abril,12.0
2013,Ceará,Maio,9.0
2018,Maranhão,Novembro,2.309
2023,Rondonia,Dezembro,179.0
2016,Maranhão,Fevereiro,268.0
2020,Sergipe,Dezembro,15.0
2022,Roraima,Junho,9.0
2014,Pernambuco,Julho,11.0
2020,Rio Grande do Sul,Fevereiro,89.0
2022,Ceará,Maio,3.0
2023,Ceará,Agosto,179.0
2022,Tocantins,Fevereiro,62.0
2018,Rio de Janeiro,Novembro,2.0
2015,Acre,Março,1.0
2014,São Paulo,Junho,312.0
2014,Pernambuco,Junho,4.0
2022,Goias,Janeiro,69.0
2020,Goias,Fevereiro,92.0
2018,Tocantins,Fevereiro,16.0
2017,Paraiba,Setembro,22.0
2022,Roraima,Setembro,92.0
2018,Espirito Santo,Maio,4.0
2022,Mato Grosso do Sul,Janeiro,205.0
2021,Bahia,Janeiro,220.0
2019,Ceará,Agosto,138.0
2016,Rio Grande do Sul,Maio,39.0
2014,Mato Grosso,Fevereiro,134.0
2015,São Paulo,Julho,139.0
2021,Paraiba,Janeiro,40.0
2021,Bahia,Setembro,6.491
2014,Rondonia,Fevereiro,4.0
2019,Goias,Junho,217.0
2018,Pará,Março,51.0
2022,Bahia,Fevereiro,137.0
2020,Bahia,Maio,95.0
2023,Amazonas,Abril,20.0
2023,Alagoas,Janeiro,22.0
2012,Mato Grosso,Fevereiro,200.0
2022,Pará,Agosto,12.472
2021,Alagoas,Outubro,15.0
2021,Espirito Santo,Janeiro,44.0
2012,Rio Grande do Sul,Outubro,134.0
2016,Tocantins,Janeiro,30.0
2021,Espirito Santo,Setembro,123.0
2013,Rio de Janeiro,Abril,4.0
2012,Mato Grosso do Sul,Maio,154.0
2012,Pernambuco,Setembro,171.0
2023,Roraima,Agosto,78.0
2015,Acre,Novembro,115.0
2019,Mato Grosso,Junho,2.151
2019,Rio Grande do Norte,Julho,4.0
2013,Amapa,Março,1.0
2012,Amapa,Abril,2.0
2023,Maranhão,Outubro,4283.0
2020,Alagoas,Janeiro,45.0
2023,Rondonia,Maio,50.0
2013,Bahia,Novembro,248.0
2013,Sergipe,Julho,0.0
2023,Ceará,Dezembro,1826.0
2022,São Paulo,Abril,47.0
2016,Paraná,Abril,162.0
2021,Amazonas,Dezembro,43.0
2016,Goias,Agosto,1.038
2020,Tocantins,Janeiro,75.0
2015,Roraima,Maio,14.0
2023,São Paulo,Outubro,58.0
2020,Distrito Federal,Dezembro,1.0
2014,Tocantins,Agosto,2790.0
2015,Roraima,Outubro,194.0
2014,Maranhão,Fevereiro,17.0
2013,São Paulo,Outubro,133.0
2022,Mato Grosso,Junho,2210.0
2020,Minas Gerais,Janeiro,80.0
2021,Rondonia,Dezembro,31.0
2015,Rio Grande do Norte,Abril,5.0
2017,Minas Gerais,Fevereiro,54.0
2017,Rio de Janeiro,Novembro,39.0
2013,Rondonia,Maio,19.0
2019,Paraiba,Abril,0.0
2019,Pará,Setembro,4.618
2022,Rio Grande do Sul,Setembro,119.0
2023,Mato Grosso,Janeiro,240.0
2016,Ceará,Dezembro,804.0
2022,Mato Grosso,Agosto,7.699
2012,Bahia,Agosto,1810.0
2021,Rondonia,Setembro,2.636
2019,Acre,Dezembro,1.0
2015,Amapa,Maio,0.0
2014,Ceará,Agosto,133.0
2015,Amazonas,Julho,365.0
2012,Piaui,Fevereiro,38.0
2017,Rio de Janeiro,Agosto,124.0
2013,Amazonas,Outubro,1.235
2021,Ceará,Abril,6.0
2020,Distrito Federal,Outubro,39.0
2018,Santa Catarina,Março,22.0
2019,Mato Grosso,Fevereiro,709.0
2022,Pará,Julho,1.681
2017,Rio de Janeiro,Outubro,182.0
2018,Rio Grande do Sul,Novembro,47.0
2013,Santa Catarina,Agosto,454.0
2015,Bahia,Março,183.0
2021,Mato Grosso,Maio,1.149
2014,Piaui,Fevereiro,12.0
2019,Rio Grande do Sul,Outubro,104.0
2014,Piaui,Janeiro,91.0
2012,Tocantins,Fevereiro,51.0
2023,Mato Grosso,Novembro,3705.0
2012,Sergipe,Fevereiro,36.0
2013,Paraná,Julho,311.0
2023,Espirito Santo,Abril,4.0
2016,Santa Catarina,Janeiro,64.0
2020,Paraná,Abril,309.0
2015,Pernambuco,Setembro,107.0
2019,Mato Grosso do Sul,Dezembro,141.0
2016,Distrito Federal,Agosto,35.0
2017,Ceará,Setembro,336.0
2015,Tocantins,Julho,1.198
2017,Mato Grosso do Sul,Julho,817.0
2013,Goias,Abril,61.0
2014,Mato Grosso do Sul,Abril,113.0
2018,Piaui,Julho,1.067
2012,Maranhão,Dezembro,2.086
2012,Alagoas,Abril,18.0
2018,Pernambuco,Abril,5.0
2012,Paraiba,Março,11.0
2023,Rio Grande do Norte,Julho,10.0
2020,Mato Grosso,Fevereiro,806.0
2013,Maranhão,Maio,132.0
2019,Minas Gerais,Março,127.0
2021,Rio Grande do Sul,Janeiro,54.0
2021,Mato Grosso,Janeiro,479.0
2020,Maranhão,Dezembro,1.228
2021,Santa Catarina,Junho,26.0
2021,Minas Gerais,Julho,1.302
2017,Goias,Abril,58.0
2020,Sergipe,Novembro,3.0
2015,Pará,Agosto,7.672
2020,Pará,Setembro,10.876
2014,Tocantins,Janeiro,90.0
2019,Mato Grosso do Sul,Julho,748.0
2016,São Paulo,Agosto,840.0
2018,Tocantins,Outubro,1.371
2018,São Paulo,Dezembro,73.0
2018,Goias,Junho,183.0
2015,São Paulo,Março,45.0
2016,Roraima,Dezembro,134.0
2015,Piaui,Dezembro,603.0
2012,Piaui,Janeiro,100.0
2016,Roraima,Junho,10.0
2023,Sergipe,Maio,2.0
2020,Espirito Santo,Setembro,131.0
2012,Sergipe,Abril,40.0
2017,Espirito Santo,Junho,23.0
2018,Pará,Setembro,4.892
2015,Amapa,Junho,2.0
2012,Tocantins,Agosto,4.269
2022,São Paulo,Fevereiro,120.0
2018,Mato Grosso,Junho,1.623
2017,Distrito Federal,Julho,28.0
2019,Bahia,Fevereiro,432.0
2022,São Paulo,Setembro,258.0
2016,Paraná,Agosto,994.0
2012,Mato Grosso do Sul,Novembro,150.0
2017,Minas Gerais,Julho,471.0
2014,Acre,Agosto,1.263
2017,Rio Grande do Norte,Fevereiro,13.0
2014,Distrito Federal,Agosto,96.0
2012,Minas Gerais,Janeiro,90.0
2021,Santa Catarina,Outubro,20.0
2018,Tocantins,Julho,1.321
2012,Minas Gerais,Dezembro,238.0
2020,Rio de Janeiro,Novembro,9.0
2018,Roraima,Maio,10.0
2012,Maranhão,Setembro,7.376
2021,Distrito Federal,Abril,4.0
2019,Paraiba,Fevereiro,7.0
2018,Goias,Julho,405.0
2016,Amapa,Agosto,39.0
2019,Minas Gerais,Setembro,3.833
2022,Rio Grande do Norte,Abril,1.0
2016,São Paulo,Janeiro,56.0
2014,Mato Grosso,Março,481.0
2012,Paraiba,Maio,8.0
2012,Acre,Dezembro,3.0
2022,Pará,Outubro,7.469
2020,Rondonia,Janeiro,56.0
2019,Maranhão,Junho,749.0
2017,Amazonas,Abril,15.0
2021,Roraima,Outubro,125.0
2023,Ceará,Outubro,1969.0
2015,Rio Grande do Norte,Setembro,33.0
2012,Sergipe,Setembro,0.0
2021,Rio de Janeiro,Abril,7.0
2015,Amapa,Outubro,927.0
2017,Mato Grosso do Sul,Maio,69.0
2021,Bahia,Fevereiro,96.0
2018,Distrito Federal,Outubro,0.0
2018,Piaui,Janeiro,84.0
2020,Pará,Outubro,8.052
2013,Distrito Federal,Fevereiro,1.0
2016,Espirito Santo,Maio,42.0
2023,Rio Grande do Sul,Maio,127.0
2021,Ceará,Setembro,411.0
2014,Paraná,Maio,111.0
2022,Paraná,Julho,311.0
2014,Amazonas,Junho,73.0
2015,Alagoas,Fevereiro,40.0
2013,Mato Grosso,Dezembro,408.0
2013,Rio Grande do Norte,Fevereiro,26.0
2017,Bahia,Outubro,3.144
2016,Piaui,Junho,151.0
2014,Maranhão,Maio,140.0
2015,Maranhão,Março,41.0
2015,Santa Catarina,Maio,70.0
2013,Roraima,Março,265.0
2014,Bahia,Setembro,2.472
2012,Pernambuco,Agosto,25.0
2022,Rio Grande do Norte,Março,3.0
2017,Roraima,Setembro,40.0
2014,Rio Grande do Sul,Abril,64.0
2017,Maranhão,Outubro,4.538
2020,Sergipe,Maio,5.0
2021,Goias,Março,86.0
2023,Rio Grande do Norte,Setembro,65.0
2020,Santa Catarina,Março,132.0
2018,Rondonia,Julho,769.0
2019,Alagoas,Outubro,20.0
2017,Rio de Janeiro,Janeiro,12.0
2014,Santa Catarina,Agosto,521.0
2019,Roraima,Janeiro,383.0
2020,Rio Grande do Sul,Agosto,1.404
2013,Minas Gerais,Novembro,244.0
2018,Mato Grosso do Sul,Outubro,124.0
2021,São Paulo,Agosto,2.277
2019,Maranhão,Março,57.0
2015,Espirito Santo,Junho,16.0
2014,Piaui,Outubro,1.657
2022,Rio de Janeiro,Junho,45.0
2019,Amazonas,Maio,21.0
2013,Pernambuco,Setembro,136.0
2022,Piaui,Outubro,4.071
2014,Rio Grande do Norte,Abril,2.0
2023,Mato Grosso do Sul,Março,118.0
2023,Rio Grande do Norte,Junho,6.0
2022,Amapa,Janeiro,8.0
2014,Maranhão,Junho,786.0
2012,Distrito Federal,Janeiro,0.0
2018,Mato Grosso do Sul,Novembro,56.0
2012,Rio de Janeiro,Agosto,76.0
2014,Minas Gerais,Abril,145.0
2021,Maranhão,Janeiro,228.0
2023,Acre,Abril,0.0
2018,Rio Grande do Sul,Fevereiro,72.0
2023,Pará,Julho,2027.0
2022,Rio Grande do Sul,Dezembro,106.0
2013,Santa Catarina,Setembro,370.0
2017,Acre,Dezembro,10.0
2020,Piaui,Maio,54.0
2020,São Paulo,Janeiro,69.0
2013,Piaui,Outubro,1.241
2021,Maranhão,Outubro,3.069
2013,São Paulo,Novembro,105.0
2020,Ceará,Dezembro,956.0
2016,Amapa,Outubro,816.0
2014,Paraiba,Fevereiro,5.0
2013,Paraiba,Maio,4.0
2020,Rio Grande do Sul,Março,227.0
2015,Ceará,Julho,23.0
2020,Paraiba,Junho,4.0
2023,Mato Grosso do Sul,Novembro,1815.0
2019,São Paulo,Julho,393.0
2019,Ceará,Maio,3.0
2014,Ceará,Dezembro,660.0
2014,Tocantins,Setembro,3.339
2016,Distrito Federal,Dezembro,0.0
2017,Maranhão,Julho,1.973
2015,Maranhão,Fevereiro,78.0
2013,Espirito Santo,Janeiro,14.0
2021,Mato Grosso,Outubro,2.358
2015,Pará,Outubro,7.379
2018,Ceará,Agosto,202.0
2019,Maranhão,Julho,1.078
2013,Maranhão,Agosto,2.374
2014,Goias,Junho,302.0
2012,Rio de Janeiro,Novembro,12.0
2018,Pará,Dezembro,1.005
2016,Espirito Santo,Setembro,112.0
2012,Paraiba,Outubro,148.0
2019,Goias,Dezembro,88.0
2018,Amapa,Junho,3.0
2013,Distrito Federal,Agosto,33.0
2017,Ceará,Abril,3.0
2020,Acre,Junho,71.0
2013,Goias,Janeiro,43.0
2014,Bahia,Outubro,2.515
2017,Bahia,Junho,213.0
2014,Espirito Santo,Setembro,52.0
2013,Bahia,Julho,378.0
2021,Rio de Janeiro,Junho,25.0
2012,Piaui,Agosto,3.615
2018,Paraiba,Maio,1.0
2012,Tocantins,Dezembro,170.0
2013,Tocantins,Abril,162.0
2022,Distrito Federal,Julho,60.0
2015,Rio Grande do Sul,Junho,70.0
2016,Rio Grande do Norte,Julho,10.0
2021,Espirito Santo,Março,45.0
2014,Distrito Federal,Janeiro,0.0
2019,Tocantins,Junho,1.406
2022,Mato Grosso do Sul,Setembro,245.0
2019,Ceará,Julho,18.0
2022,Bahia,Março,233.0
2016,Piaui,Setembro,1.344
2017,Paraiba,Julho,1.0
2018,Roraima,Setembro,17.0
2016,Rio Grande do Norte,Janeiro,13.0
2022,Paraiba,Fevereiro,3.0
2013,Maranhão,Fevereiro,72.0
2021,Mato Grosso do Sul,Novembro,205.0
2019,Distrito Federal,Julho,30.0
2018,Mato Grosso do Sul,Fevereiro,50.0
2016,Rio de Janeiro,Junho,30.0
2018,Maranhão,Setembro,3.177
2020,Tocantins,Maio,446.0
2018,Espirito Santo,Novembro,11.0
2017,Rio de Janeiro,Maio,16.0
2018,Espirito Santo,Dezembro,18.0
2022,Mato Grosso do Sul,Novembro,100.0
2014,Paraná,Agosto,664.0
2021,Alagoas,Agosto,2.0
2013,Rio Grande do Sul,Março,56.0
2012,Distrito Federal,Março,0.0
